Axiom validation log 2026-03-08_1835

Session overview
- Reviewed snapshot: 297 results
- Byte-weighted credits awarded: 137 results across 6117963 creditable bytes
- Denied sentinel (0.01): 160 results via stub filter (nbytes < 500 and elapsed_time < 60)
- Sanitized payload review: no matching sanitized JSON files existed yet for this live batch, so this cycle used trusted DB-side metadata only (result IDs, elapsed_time, DB-extracted nbytes, retired registry)
- Retired experiment matches in this batch: 0
- Stuck/broken tasks cleaned up: none in validation step
- Bugs fixed in experiment scripts: none

Credit totals
- Total credit added to results this session: 7545.29
- Byte-weighted pool subtotal: 7543.69
- Denied sentinel subtotal: 1.60
- Highest single result credit: 183.18
- Lowest credited non-sentinel result: 2.78

Per-user totals after rollup
- user 6: total_credit 49741.54
- user 23: total_credit 5515.66
- user 31: total_credit 10629.05
- user 34: total_credit 272.88
- user 43: total_credit 653.57
- user 44: total_credit 103893.44
- user 55: total_credit 1484.92
- user 83: total_credit 6447.26
- user 88: total_credit 19398.13
- user 90: total_credit 77913.28
- user 130: total_credit 1262.92
- user 136: total_credit 21182.40

Results reviewed this session
- result 1908007 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.40 (elapsed 842.022s, nbytes 16542, no retired match, sanitized payload pending)
- result 1908148 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.18 (elapsed 842.637s, nbytes 54485, no retired match, sanitized payload pending)
- result 1908151 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.22 (elapsed 842.689s, nbytes 54520, no retired match, sanitized payload pending)
- result 1908152 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.41 (elapsed 841.984s, nbytes 16554, no retired match, sanitized payload pending)
- result 1908165 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.99 (elapsed 842.691s, nbytes 54331, no retired match, sanitized payload pending)
- result 1908168 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.40 (elapsed 842.599s, nbytes 16542, no retired match, sanitized payload pending)
- result 1908175 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.98 (elapsed 842.749s, nbytes 54319, no retired match, sanitized payload pending)
- result 1908180 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.30 (elapsed 842.629s, nbytes 16460, no retired match, sanitized payload pending)
- result 1908192 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.02 (elapsed 842.649s, nbytes 54352, no retired match, sanitized payload pending)
- result 1908196 (host 367): exp_sparse_wigner_tw_edge -> byte-weighted credit 24.76 (elapsed 842.730s, nbytes 20080, no retired match, sanitized payload pending)
- result 1908198 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.41 (elapsed 842.665s, nbytes 16555, no retired match, sanitized payload pending)
- result 1908203 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.26 (elapsed 842.032s, nbytes 54548, no retired match, sanitized payload pending)
- result 1908699 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.03 (elapsed 842.719s, nbytes 54364, no retired match, sanitized payload pending)
- result 1908701 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.41 (elapsed 842.743s, nbytes 16549, no retired match, sanitized payload pending)
- result 1909189 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.17 (elapsed 842.690s, nbytes 54478, no retired match, sanitized payload pending)
- result 1909268 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.96 (elapsed 841.922s, nbytes 54303, no retired match, sanitized payload pending)
- result 1909637 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.01 (elapsed 842.753s, nbytes 54343, no retired match, sanitized payload pending)
- result 1909777 (host 367): exp_sparse_wigner_tw_edge -> byte-weighted credit 24.75 (elapsed 842.712s, nbytes 20072, no retired match, sanitized payload pending)
- result 1909778 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.40 (elapsed 842.590s, nbytes 16547, no retired match, sanitized payload pending)
- result 1909787 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.25 (elapsed 842.622s, nbytes 54541, no retired match, sanitized payload pending)
- result 1909829 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.00 (elapsed 842.756s, nbytes 54335, no retired match, sanitized payload pending)
- result 1909835 (host 367): exp_sparse_wigner_tw_edge -> byte-weighted credit 24.73 (elapsed 842.643s, nbytes 20059, no retired match, sanitized payload pending)
- result 1909840 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.38 (elapsed 842.655s, nbytes 16527, no retired match, sanitized payload pending)
- result 1909967 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.30 (elapsed 842.642s, nbytes 53767, no retired match, sanitized payload pending)
- result 1909999 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.88 (elapsed 843.017s, nbytes 54239, no retired match, sanitized payload pending)
- result 1910000 (host 367): exp_sparse_wigner_tw_edge -> byte-weighted credit 24.76 (elapsed 842.846s, nbytes 20081, no retired match, sanitized payload pending)
- result 1910383 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.85 (elapsed 842.098s, nbytes 54214, no retired match, sanitized payload pending)
- result 1910387 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.37 (elapsed 842.818s, nbytes 16517, no retired match, sanitized payload pending)
- result 1910421 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.85 (elapsed 842.781s, nbytes 54215, no retired match, sanitized payload pending)
- result 1910454 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.34 (elapsed 842.640s, nbytes 16493, no retired match, sanitized payload pending)
- result 1910457 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.40 (elapsed 842.800s, nbytes 16545, no retired match, sanitized payload pending)
- result 1910485 (host 367): exp_sparse_wigner_tw_edge -> byte-weighted credit 24.77 (elapsed 842.681s, nbytes 20091, no retired match, sanitized payload pending)
- result 1910487 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.99 (elapsed 842.659s, nbytes 54333, no retired match, sanitized payload pending)
- result 1910488 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.13 (elapsed 842.793s, nbytes 54444, no retired match, sanitized payload pending)
- result 1910490 (host 367): exp_sparse_wigner_tw_edge -> byte-weighted credit 24.76 (elapsed 842.649s, nbytes 20081, no retired match, sanitized payload pending)
- result 1910494 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.40 (elapsed 842.797s, nbytes 16545, no retired match, sanitized payload pending)
- result 1910497 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 67.22 (elapsed 842.700s, nbytes 54517, no retired match, sanitized payload pending)
- result 1910527 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.40 (elapsed 842.864s, nbytes 16543, no retired match, sanitized payload pending)
- result 1910533 (host 367): exp_sparse_wigner_tw_edge -> byte-weighted credit 24.72 (elapsed 842.671s, nbytes 20052, no retired match, sanitized payload pending)
- result 1910548 (host 367): exp_ageing_voter_modular_polarization -> byte-weighted credit 66.90 (elapsed 842.649s, nbytes 54254, no retired match, sanitized payload pending)
- result 1915553 (host 159): exp_markov_branching_rescue_correlation -> byte-weighted credit 183.03 (elapsed 843.010s, nbytes 148443, no retired match, sanitized payload pending)
- result 1915584 (host 159): exp_sparse_wigner_tw_edge -> byte-weighted credit 25.92 (elapsed 843.867s, nbytes 21021, no retired match, sanitized payload pending)
- result 1915594 (host 159): exp_sparse_wigner_tw_edge -> byte-weighted credit 25.95 (elapsed 843.878s, nbytes 21048, no retired match, sanitized payload pending)
- result 1915889 (host 159): exp_ageing_voter_modular_polarization -> byte-weighted credit 70.68 (elapsed 843.904s, nbytes 57320, no retired match, sanitized payload pending)
- result 1915993 (host 159): exp_sparse_wigner_tw_edge -> byte-weighted credit 25.96 (elapsed 843.878s, nbytes 21053, no retired match, sanitized payload pending)
- result 1916261 (host 230): exp_sparse_wigner_tw_edge -> byte-weighted credit 25.97 (elapsed 845.429s, nbytes 21062, no retired match, sanitized payload pending)
- result 1923111 (host 219): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 21.31 (elapsed 843.953s, nbytes 17282, no retired match, sanitized payload pending)
- result 1923115 (host 219): exp_markov_branching_rescue_correlation -> byte-weighted credit 183.04 (elapsed 845.990s, nbytes 148445, no retired match, sanitized payload pending)
- result 1923133 (host 219): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 21.31 (elapsed 844.971s, nbytes 17280, no retired match, sanitized payload pending)
- result 1923151 (host 219): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 21.30 (elapsed 844.974s, nbytes 17278, no retired match, sanitized payload pending)
- result 1923152 (host 219): exp_ageing_voter_modular_polarization -> byte-weighted credit 70.38 (elapsed 844.962s, nbytes 57075, no retired match, sanitized payload pending)
- result 1923165 (host 219): exp_ageing_voter_modular_polarization -> byte-weighted credit 70.74 (elapsed 844.733s, nbytes 57372, no retired match, sanitized payload pending)
- result 1923176 (host 219): exp_ageing_voter_modular_polarization -> byte-weighted credit 70.33 (elapsed 844.962s, nbytes 57037, no retired match, sanitized payload pending)
- result 1923177 (host 219): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 21.29 (elapsed 844.979s, nbytes 17263, no retired match, sanitized payload pending)
- result 1923341 (host 269): exp_sparse_wigner_tw_edge -> byte-weighted credit 25.96 (elapsed 870.578s, nbytes 21051, no retired match, sanitized payload pending)
- result 1923355 (host 269): exp_markov_branching_rescue_correlation -> byte-weighted credit 182.43 (elapsed 825.453s, nbytes 147952, no retired match, sanitized payload pending)
- result 1925287 (host 222): exp_sparse_wigner_tw_edge -> byte-weighted credit 25.93 (elapsed 859.610s, nbytes 21030, no retired match, sanitized payload pending)
- result 1927088 (host 195): exp_kellersegel_crossed_resource_sensitivity_gpu -> byte-weighted credit 54.96 (elapsed 865.239s, nbytes 44570, no retired match, sanitized payload pending)
- result 1927372 (host 16): exp_contact_process_crossed_stripe_interaction_gpu_gpu -> byte-weighted credit 65.71 (elapsed 853.477s, nbytes 53293, no retired match, sanitized payload pending)
- result 1927379 (host 16): exp_kellersegel_crossed_resource_sensitivity_gpu_gpu -> byte-weighted credit 57.53 (elapsed 856.349s, nbytes 46655, no retired match, sanitized payload pending)
- result 1927382 (host 16): exp_contact_process_crossed_stripe_interaction_gpu_gpu -> byte-weighted credit 65.70 (elapsed 879.557s, nbytes 53285, no retired match, sanitized payload pending)
- result 1927820 (host 16): exp_grayscott_crossed_stripe_interaction_gpu_gpu -> byte-weighted credit 2.79 (elapsed 63.802s, nbytes 2261, no retired match, sanitized payload pending)
- result 1927828 (host 16): exp_grayscott_crossed_stripe_interaction_gpu_gpu -> byte-weighted credit 2.78 (elapsed 63.953s, nbytes 2254, no retired match, sanitized payload pending)
- result 1927831 (host 16): exp_grayscott_crossed_stripe_interaction_gpu_gpu -> byte-weighted credit 2.79 (elapsed 64.809s, nbytes 2264, no retired match, sanitized payload pending)
- result 1927833 (host 16): exp_grayscott_crossed_stripe_interaction_gpu_gpu -> byte-weighted credit 2.79 (elapsed 63.757s, nbytes 2261, no retired match, sanitized payload pending)
- result 1928273 (host 349): exp_benford_h349_r1_3701392 -> byte-weighted credit 6.38 (elapsed 907.582s, nbytes 5172, no retired match, sanitized payload pending)
- result 1928279 (host 349): exp_hyperpgg_h349_r1_3701392 -> byte-weighted credit 7.41 (elapsed 859.143s, nbytes 6013, no retired match, sanitized payload pending)
- result 1928704 (host 102): exp_hypergraph_pgg_inertia_crossover -> byte-weighted credit 15.32 (elapsed 844.118s, nbytes 12425, no retired match, sanitized payload pending)
- result 1928909 (host 269): exp_ageing_voter_modular_polarization -> byte-weighted credit 69.58 (elapsed 840.375s, nbytes 56430, no retired match, sanitized payload pending)
- result 1929643 (host 222): exp_hypergraph_pgg_inertia_crossover -> byte-weighted credit 13.92 (elapsed 854.698s, nbytes 11287, no retired match, sanitized payload pending)
- result 1929644 (host 222): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 21.17 (elapsed 854.168s, nbytes 17173, no retired match, sanitized payload pending)
- result 1930054 (host 190): exp_contact_process_crossed_stripe_interaction_gpu_gpu -> byte-weighted credit 65.72 (elapsed 895.900s, nbytes 53301, no retired match, sanitized payload pending)
- result 1930061 (host 190): exp_minority_game_delay_memory_interaction -> byte-weighted credit 42.68 (elapsed 904.534s, nbytes 34618, no retired match, sanitized payload pending)
- result 1930064 (host 190): exp_markov_branching_rescue_correlation -> byte-weighted credit 183.16 (elapsed 848.237s, nbytes 148544, no retired match, sanitized payload pending)
- result 1930123 (host 269): exp_markov_branching_rescue_correlation -> byte-weighted credit 183.10 (elapsed 834.359s, nbytes 148495, no retired match, sanitized payload pending)
- result 1930219 (host 57): exp_ageing_voter_modular_polarization -> byte-weighted credit 70.40 (elapsed 844.828s, nbytes 57094, no retired match, sanitized payload pending)
- result 1930324 (host 350): exp_ageing_voter_modular_polarization -> byte-weighted credit 70.03 (elapsed 845.340s, nbytes 56794, no retired match, sanitized payload pending)
- result 1930416 (host 350): exp_markov_branching_rescue_correlation -> byte-weighted credit 183.07 (elapsed 846.918s, nbytes 148472, no retired match, sanitized payload pending)
- result 1930426 (host 269): exp_markov_branching_rescue_correlation -> byte-weighted credit 183.18 (elapsed 821.875s, nbytes 148563, no retired match, sanitized payload pending)
- result 1930522 (host 360): exp_markov_branching_rescue_correlation -> byte-weighted credit 175.40 (elapsed 856.877s, nbytes 142251, no retired match, sanitized payload pending)
- result 1930531 (host 360): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.40 (elapsed 855.813s, nbytes 16543, no retired match, sanitized payload pending)
- result 1930532 (host 360): exp_markov_branching_rescue_correlation -> byte-weighted credit 175.30 (elapsed 851.384s, nbytes 142168, no retired match, sanitized payload pending)
- result 1930547 (host 360): exp_markov_branching_rescue_correlation -> byte-weighted credit 175.51 (elapsed 855.668s, nbytes 142338, no retired match, sanitized payload pending)
- result 1930627 (host 269): exp_minority_game_delay_memory_interaction -> byte-weighted credit 42.70 (elapsed 904.781s, nbytes 34631, no retired match, sanitized payload pending)
- result 1930661 (host 269): exp_sparse_wigner_tw_edge -> byte-weighted credit 25.94 (elapsed 874.562s, nbytes 21036, no retired match, sanitized payload pending)
- result 1930664 (host 269): exp_ageing_voter_modular_polarization -> byte-weighted credit 70.12 (elapsed 835.375s, nbytes 56865, no retired match, sanitized payload pending)
- result 1930678 (host 269): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 21.30 (elapsed 822.578s, nbytes 17271, no retired match, sanitized payload pending)
- result 1930736 (host 269): exp_ageing_voter_modular_polarization -> byte-weighted credit 70.37 (elapsed 823.125s, nbytes 57068, no retired match, sanitized payload pending)
- result 1930744 (host 269): exp_hypergraph_pgg_inertia_crossover -> byte-weighted credit 15.11 (elapsed 824.750s, nbytes 12252, no retired match, sanitized payload pending)
- result 1930761 (host 269): exp_ageing_voter_modular_polarization -> byte-weighted credit 70.54 (elapsed 823.016s, nbytes 57209, no retired match, sanitized payload pending)
- result 1930766 (host 269): exp_minority_game_delay_memory_interaction -> byte-weighted credit 42.76 (elapsed 898.641s, nbytes 34681, no retired match, sanitized payload pending)
- result 1930767 (host 269): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 21.30 (elapsed 823.438s, nbytes 17276, no retired match, sanitized payload pending)
- result 1930772 (host 269): exp_markov_branching_rescue_correlation -> byte-weighted credit 182.90 (elapsed 834.062s, nbytes 148333, no retired match, sanitized payload pending)
- result 1930773 (host 269): exp_markov_branching_rescue_correlation -> byte-weighted credit 183.13 (elapsed 830.734s, nbytes 148520, no retired match, sanitized payload pending)
- result 1930774 (host 269): exp_minority_game_delay_memory_interaction -> byte-weighted credit 42.70 (elapsed 900.578s, nbytes 34634, no retired match, sanitized payload pending)
- result 1930806 (host 269): exp_minority_game_delay_memory_interaction -> byte-weighted credit 42.68 (elapsed 833.500s, nbytes 34615, no retired match, sanitized payload pending)
- result 1930811 (host 269): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 21.31 (elapsed 824.938s, nbytes 17281, no retired match, sanitized payload pending)
- result 1930819 (host 269): exp_hypergraph_pgg_inertia_crossover -> byte-weighted credit 15.14 (elapsed 824.156s, nbytes 12276, no retired match, sanitized payload pending)
- result 1930830 (host 269): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 21.30 (elapsed 826.906s, nbytes 17274, no retired match, sanitized payload pending)
- result 1930832 (host 269): exp_minority_game_delay_memory_interaction -> byte-weighted credit 42.67 (elapsed 887.156s, nbytes 34608, no retired match, sanitized payload pending)
- result 1930835 (host 269): exp_markov_branching_rescue_correlation -> byte-weighted credit 183.15 (elapsed 826.828s, nbytes 148534, no retired match, sanitized payload pending)
- result 1930846 (host 269): exp_minority_game_delay_memory_interaction -> byte-weighted credit 42.73 (elapsed 921.734s, nbytes 34653, no retired match, sanitized payload pending)
- result 1930849 (host 269): exp_minority_game_delay_memory_interaction -> byte-weighted credit 42.72 (elapsed 902.125s, nbytes 34647, no retired match, sanitized payload pending)
- result 1930850 (host 269): exp_hypergraph_pgg_inertia_crossover -> byte-weighted credit 15.20 (elapsed 829.812s, nbytes 12328, no retired match, sanitized payload pending)
- result 1930860 (host 269): exp_hypergraph_pgg_inertia_crossover -> byte-weighted credit 15.13 (elapsed 832.422s, nbytes 12273, no retired match, sanitized payload pending)
- result 1930865 (host 269): exp_hypergraph_pgg_inertia_crossover -> byte-weighted credit 15.32 (elapsed 831.438s, nbytes 12424, no retired match, sanitized payload pending)
- result 1930866 (host 269): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 21.26 (elapsed 826.359s, nbytes 17242, no retired match, sanitized payload pending)
- result 1930874 (host 269): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 21.30 (elapsed 828.922s, nbytes 17275, no retired match, sanitized payload pending)
- result 1930927 (host 269): exp_minority_game_delay_memory_interaction -> byte-weighted credit 42.67 (elapsed 857.281s, nbytes 34605, no retired match, sanitized payload pending)
- result 1930940 (host 269): exp_sparse_wigner_tw_edge -> byte-weighted credit 25.93 (elapsed 868.203s, nbytes 21033, no retired match, sanitized payload pending)
- result 1930960 (host 269): exp_markov_branching_rescue_correlation -> byte-weighted credit 182.85 (elapsed 826.328s, nbytes 148297, no retired match, sanitized payload pending)
- result 1930967 (host 269): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 21.26 (elapsed 821.016s, nbytes 17244, no retired match, sanitized payload pending)
- result 1930973 (host 269): exp_sparse_wigner_tw_edge -> byte-weighted credit 25.95 (elapsed 877.734s, nbytes 21049, no retired match, sanitized payload pending)
- result 1930983 (host 269): exp_ageing_voter_modular_polarization -> byte-weighted credit 70.34 (elapsed 834.031s, nbytes 57048, no retired match, sanitized payload pending)
- result 1931001 (host 269): exp_markov_branching_rescue_correlation -> byte-weighted credit 183.13 (elapsed 828.578s, nbytes 148519, no retired match, sanitized payload pending)
- result 1931052 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.061s, nbytes 251)
- result 1931270 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.106s, nbytes 249)
- result 1931271 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.062s, nbytes 237)
- result 1931273 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.056s, nbytes 254)
- result 1931275 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.195s, nbytes 249)
- result 1931278 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.048s, nbytes 254)
- result 1931285 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.050s, nbytes 254)
- result 1931289 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.046s, nbytes 251)
- result 1931290 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.055s, nbytes 254)
- result 1931291 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.041s, nbytes 251)
- result 1931292 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.065s, nbytes 237)
- result 1931293 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 4.054s, nbytes 251)
- result 1931309 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.043s, nbytes 237)
- result 1931311 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.063s, nbytes 237)
- result 1931312 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 4.068s, nbytes 248)
- result 1931327 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.171s, nbytes 251)
- result 1931329 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.056s, nbytes 237)
- result 1931336 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.072s, nbytes 237)
- result 1931337 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.044s, nbytes 249)
- result 1931338 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.046s, nbytes 237)
- result 1931339 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.066s, nbytes 249)
- result 1931340 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.053s, nbytes 248)
- result 1931341 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.050s, nbytes 237)
- result 1931342 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.198s, nbytes 237)
- result 1931343 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.185s, nbytes 251)
- result 1931346 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.058s, nbytes 251)
- result 1931347 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.056s, nbytes 249)
- result 1931348 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.045s, nbytes 251)
- result 1931349 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.055s, nbytes 248)
- result 1931350 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 4.068s, nbytes 248)
- result 1931351 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.065s, nbytes 245)
